pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1021 (12),1021,12,,Floor Finishes,Lump Sum,,,,Part E_1000.pdf
1022 (1),1022,1,,Stucco Finish,Square Meter,,,,Part E_1000.pdf
1023 (1),1023,1,,Granolithic Marble Work,Lump Sum,,,,Part E_1000.pdf
1023 (2),1023,2,,Granolithic Marble Work,Square Meter,,,,Part E_1000.pdf
1023 (3),1023,3,,Granolithic Marble Work,Linear Meter,,,,Part E_1000.pdf
1024 (1),1024,1,,Pea Gravel Washout Finish Page 16 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1025 (1),1025,1,,a Hammered Finish Bush,Square Meter,,,,Part E_1000.pdf
1025 (1),1025,1,,b Hammered Finish Fluted Bush,Square Meter,,,,Part E_1000.pdf
1026 (1),1026,1,,Pebble Washout,Square Meter,,,,Part E_1000.pdf
1027 (1),1027,1,,Cement Plaster Finish,Square Meter,,,,Part E_1000.pdf
1027 (2),1027,2,,Simulated Red Bricks,Square Meter,,,,Part E_1000.pdf
1027 (3),1027,3,,Decorative Stone,Square Meter,,,,Part E_1000.pdf
1027 (4),1027,4,,Cement Plaster Finish,Lump Sum,,,,Part E_1000.pdf
1027 (5),1027,5,,Simulated Red Bricks,Lump Sum,,,,Part E_1000.pdf
1027 (6),1027,6,,Decorative Stone,Lump Sum,,,,Part E_1000.pdf
1028 (1),1028,1,,a Synthetic Adobe Finish Bush Hammered,Square Meter,,,,Part E_1000.pdf
1028 (1),1028,1,,b Synthetic Adobe Finish Fluted Bush Hammered,Square Meter,,,,Part E_1000.pdf
1028 (2),1028,2,,Synthetic Finish Piqueta Tool Finish Page 17 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1029 (1),1029,1,,Granite Washout Finish,Square Meter,,,,Part E_1000.pdf
1029 (2),1029,2,,Granite Washout Finish,Linear Meter,,,,Part E_1000.pdf
1030 (1),1030,1,,Acoustical Ceiling Panel,Square Meter,,,,Part E_1000.pdf
1031 (1),1031,1,,a Acoustical Tile,Square Meter,,,,Part E_1000.pdf
1031 (1),1031,1,,b Acoustical Board,Square Meter,,,,Part E_1000.pdf
1031 (1),1031,1,,c Acoustical Panel,Square Meter,,,,Part E_1000.pdf
1031 (2),1031,2,,Sprayed-on Acoustical Material,Square Meter,,,,Part E_1000.pdf
1032 (1),1032,1,,a Painting Works Masonry/Concrete,Square Meter,,,,Part E_1000.pdf
1032 (1),1032,1,,b Painting Works Wood,Square Meter,,,,Part E_1000.pdf
1032 (1),1032,1,,c Painting Works Steel,Square Meter,,,,Part E_1000.pdf
1032 (2),1032,2,,Varnishing,Square Meter,,,,Part E_1000.pdf
1032 (3),1032,3,,Sea-mist Finish,Square Meter,,,,Part E_1000.pdf
1032 (4),1032,4,,Ducco Finish,Square Meter,,,,Part E_1000.pdf
1032 (5),1032,5,,Textured Finish Page 18 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Square Meter,,,,Part E_1000.pdf
1033 (1),1033,1,,Metal Deck Panel,Linear Meter,,,,Part E_1000.pdf
1034 (1),1034,1,,a Dampproofing Asphalt,Square Meter,,,,Part E_1000.pdf
1034 (1),1034,1,,b Dampproofing Polyethylene Sheet,Square Meter,,,,Part E_1000.pdf
1034 (1),1034,1,,c Dampproofing Coal-tar Pitch,Square Meter,,,,Part E_1000.pdf
1034 (1),1034,1,,d Dampproofing Emulsified Asphalt,Square Meter,,,,Part E_1000.pdf
1035 (1),1035,1,,Non-Structural Metal Framing,Linear Meter,,,,Part E_1000.pdf
1035 (2),1035,2,,Non-Structural Metal Framing,Lump Sum,,,,Part E_1000.pdf
1036 (1),1036,1,,a Polycarbonate Sheets/Panels Solid,Linear Meter,,,,Part E_1000.pdf
1036 (1),1036,1,,b Polycarbonate Sheets/Panels Corrugated,Linear Meter,,,,Part E_1000.pdf
1036 (1),1036,1,,c Polycarbonate Sheets/Panels Multi Wall,Linear Meter,,,,Part E_1000.pdf
1036 (2),1036,2,,a Polycarbonate Sheets/Panels Solid,Piece,,,,Part E_1000.pdf
1036 (2),1036,2,,b Polycarbonate Sheets/Panels Corrugated,Piece,,,,Part E_1000.pdf
1036 (2),1036,2,,c Polycarbonate Sheets/Panels Multi Wall Page 19 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Piece,,,,Part E_1000.pdf
1036 (3),1036,3,,a Polycarbonate Sheets/Panels Solid,Roll,,,,Part E_1000.pdf
1036 (3),1036,3,,b Polycarbonate Sheets/Panels Corrugated,Roll,,,,Part E_1000.pdf
1036 (3),1036,3,,c Polycarbonate Sheets/Panels Multi Wall,Roll,,,,Part E_1000.pdf
1037 (1),1037,1,,Concrete Roof Tile,Square Meter,,,,Part E_1000.pdf
1038 (1),1038,1,,Reflective Insulation,Square Meter,,,,Part E_1000.pdf
1039 (1),1039,1,,Aluminum Cladding,Square Meter,,,,Part E_1000.pdf
1040 (1),1040,1,,Metal Lath and Accessories Page 20 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1041 (1),1041,1,,Gypsum Board for Walls,Square Meter,,,,Part E_1000.pdf
1041 (2),1041,2,,Gypsum Board for Ceilings,Square Meter,,,,Part E_1000.pdf
1042 (1),1042,1,,Stainless Steel Door and Frames,Lump Sum,,,,Part E_1000.pdf
1042 (2),1042,2,,Stainless Steel Door and Frames,Set,,,,Part E_1000.pdf
1043 (1),1043,1,,PVC Doors and Frames,Square Meter,,,,Part E_1000.pdf
1043 (2),1043,2,,PVC Doors and Frames,Set,,,,Part E_1000.pdf
1043 (3),1043,3,,PVC Doors and Frames,Lump Sum,,,,Part E_1000.pdf
1044 (1),1044,1,,a Folding Door Wooden,Square Meter,,,,Part E_1000.pdf
1044 (1),1044,1,,b Folding Door Steel/Aluminum,Square Meter,,,,Part E_1000.pdf
1044 (1),1044,1,,c Folding Door Plastic/PVC,Square Meter,,,,Part E_1000.pdf
1044 (2),1044,2,,a Folding Partition Wooden,Square Meter,,,,Part E_1000.pdf
1044 (2),1044,2,,b Folding Partition Steel/Aluminum,Square Meter,,,,Part E_1000.pdf
1044 (2),1044,2,,c Folding Partition Plastic/PVC,Square Meter,,,,Part E_1000.pdf
1044 (3),1044,3,,Folding Doors/Partition Page 21 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1045 (1),1045,1,,Perforated Ceiling Panel,Square Meter,,,,Part E_1000.pdf
1045 (2),1045,2,,Perforated Ceiling Panel,Lump Sum,,,,Part E_1000.pdf
1046 (1) a1,1046,1,a1,CHB Load Bearing (including Reinforcing Steel) 100 mm,Square Meter,,,,Part E_1000.pdf
1046 (1) a2,1046,1,a2,CHB Load Bearing (including Reinforcing Steel) 150 mm,Square Meter,,,,Part E_1000.pdf
1046 (2) a1,1046,2,a1,CHB Non-Load Bearing (including Reinforcing Steel) 100 mm,Square Meter,,,,Part E_1000.pdf
1046 (2) a2,1046,2,a2,CHB Non-Load Bearing (including Reinforcing Steel) 150 mm,Square Meter,,,,Part E_1000.pdf
1046 (3),1046,3,,Louver Block,Square Meter,,,,Part E_1000.pdf
1046 (4) a1,1046,4,a1,AAC Non-Load Bearing 100 mm,Square Meter,,,,Part E_1000.pdf
1046 (4) a2,1046,4,a2,AAC Non-Load Bearing 150 mm,Square Meter,,,,Part E_1000.pdf
1046 (5),1046,5,,Adobe Blocks,Square Meter,,,,Part E_1000.pdf
1047 (1),1047,1,,Metal Structures,Kilogram,,,,Part E_1000.pdf
1047 (2),1047,2,,Metal Structures,Lump Sum,,,,Part E_1000.pdf
1047 (3),1047,3,,Metal Structure Accessories,Lump Sum,,,,Part E_1000.pdf
1047 (4),1047,4,,a Metal Structure Accessories Bolts and Rods,Each,,,,Part E_1000.pdf
1047 (4),1047,4,,b Metal Structure Accessories Turnbuckle,Each,,,,Part E_1000.pdf
1047 (5),1047,5,,a Metal Structure Accessories Bolts and Rods,Kilogram,,,,Part E_1000.pdf
1047 (5),1047,5,,b Metal Structure Accessories Sagrods,Kilogram,,,,Part E_1000.pdf
1047 (5),1047,5,,c Metal Structure Accessories Cross Bracing Page 22 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Kilogram,,,,Part E_1000.pdf
1047 (5),1047,5,,d Metal Structure Accessories Steel Plates,Kilogram,,,,Part E_1000.pdf
1047 (6),1047,6,,Structural Steel,Kilogram,,,,Part E_1000.pdf
1047 (7),1047,7,,Structural Steel,Lump Sum,,,,Part E_1000.pdf
1047 (8),1047,8,,a Structural Steel Trusses,Kilogram,,,,Part E_1000.pdf
1047 (8),1047,8,,b Structural Steel Purlins,Kilogram,,,,Part E_1000.pdf
1047 (8),1047,8,,c Structural Steel Cladding Frame,Kilogram,,,,Part E_1000.pdf
1047 (8),1047,8,,d Structural Steel Deck Frame,Kilogram,,,,Part E_1000.pdf
1048 (1),1048,1,,a Carbon Fiber 1 Layer,Square Meter,,,,Part E_1000.pdf
1048 (1),1048,1,,b Carbon Fiber 2 Layers,Square Meter,,,,Part E_1000.pdf
1048 (1),1048,1,,c Carbon Fiber 3 Layers,Square Meter,,,,Part E_1000.pdf
1048 (1),1048,1,,d Carbon Fiber 4 Layers,Square Meter,,,,Part E_1000.pdf
1048 (2),1048,2,,Carbon Fiber Plate,Square Meter,,,,Part E_1000.pdf
1048 (3),1048,3,,a Aramid Fiber 1 Layer,Square Meter,,,,Part E_1000.pdf
1048 (3),1048,3,,b Aramid Fiber 2 Layers,Square Meter,,,,Part E_1000.pdf
1048 (3),1048,3,,c Aramid Fiber 3 Layers,Square Meter,,,,Part E_1000.pdf
1048 (3),1048,3,,d Aramid Fiber 4 Layers,Square Meter,,,,Part E_1000.pdf
1048 (4),1048,4,,Glass Fiber Sheet,Square Meter,,,,Part E_1000.pdf
1048 (5),1048,5,,Structural Concrete Injection and Crack Repair,Linear Meter,,,,Part E_1000.pdf
1048 (6),1048,6,,Concrete Repair Patching,Square Meter,,,,Part E_1000.pdf
1048 (7),1048,7,,Concrete Repair Patching,Lump Sum,,,,Part E_1000.pdf
1048 (8),1048,8,,Structural Concrete Injection and Crack Repair Page 23 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1049 (1),1049,1,,a Jet Grouting 600 mm dia,Linear Meter,,,,Part E_1000.pdf
1049 (1),1049,1,,b Jet Grouting 800 mm dia,Linear Meter,,,,Part E_1000.pdf
1049 (1),1049,1,,c Jet Grouting 1000 mm dia,Linear Meter,,,,Part E_1000.pdf
1049 (1),1049,1,,"d Jet Grouting 1200 mm dia *Non-shrink grout shall not be measured and paid for separately, but the cost thereof shall be considered as included in the contract unit price of the items where called for.*",Linear Meter,,,,Part E_1000.pdf
1051 (1),1051,1,,Railing,Meter,,,,Part E_1000.pdf
1051 (2),1051,2,,a Concrete Railing Standard,Meter,,,,Part E_1000.pdf
1051 (2),1051,2,,b Concrete Railing Balluster,Meter,,,,Part E_1000.pdf
1051 (2),1051,2,,c Concrete Railing Parapet,Meter,,,,Part E_1000.pdf
1051 (3),1051,3,,Wooden Railing,Meter,,,,Part E_1000.pdf
1051 (4),1051,4,,Stone and Brick Railing,Meter,,,,Part E_1000.pdf
1051 (5),1051,5,,Metal Railing,Meter,,,,Part E_1000.pdf
1051 (6),1051,6,,Stainless Steel Railing,Meter,,,,Part E_1000.pdf
1051 (7),1051,7,,Glass Railing,Meter,,,,Part E_1000.pdf
1051 (8),1051,8,,Railing Page 24 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Lump Sum,,,,Part E_1000.pdf
1052 (1),1052,1,,"Untreated Timber Piles, Furnished",Meter,,,,Part E_1000.pdf
1052 (2),1052,2,,"Treated Timber Piles, Preservative, Furnished",Meter,,,,Part E_1000.pdf
1052 (3),1052,3,,"a Steel H-Piles, Furnished 305 mm x 305 mm 79 kg/m",Meter,,,,Part E_1000.pdf
1052 (3),1052,3,,"b Steel H-Piles, Furnished 305 mm x 305 mm 94 kg/m",Meter,,,,Part E_1000.pdf
1052 (3),1052,3,,"c Steel H-Piles, Furnished 305 mm x 305 mm 110 kg/m",Meter,,,,Part E_1000.pdf
1052 (3),1052,3,,"d Steel H-Piles, Furnished 305 mm x 305 mm 125 kg/m",Meter,,,,Part E_1000.pdf
1052 (4) a1,1052,4,a1,"Precast Concrete Piles, Furnished 400 mm x 400 mm",Meter,,,,Part E_1000.pdf
1052 (4) a2,1052,4,a2,"Precast Concrete Piles, Furnished 450 mm x 450 mm",Meter,,,,Part E_1000.pdf
1052 (5) a1,1052,5,a1,"Precast, Prestresssed Concrete Piles, Furnished 400 mm x 400 mm",Meter,,,,Part E_1000.pdf
1052 (5) a2,1052,5,a2,"Precast, Prestresssed Concrete Piles, Furnished 450 mm x 450 mm",Meter,,,,Part E_1000.pdf
1052 (6),1052,6,,"Structural Steel Sheet Piles, Furnished",Meter,,,,Part E_1000.pdf
1052 (7),1052,7,,"Precast Concrete Sheet Piles, Furnished",Meter,,,,Part E_1000.pdf
1052 (8),1052,8,,"Untreated Timber Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (9),1052,9,,"Treated Timber Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (10),1052,10,,"Steel H-Piles,Ddriven",Meter,,,,Part E_1000.pdf
1052 (11),1052,11,,Steel Pipes Piles,Meter,,,,Part E_1000.pdf
1052 (12),1052,12,,"Structural Steel Sheet Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (13),1052,13,,"Precast Concrete Sheet Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (14),1052,14,,"Precast Concrete Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (15),1052,15,,"Precast, Prestresssed Concrete Piles, Driven",Meter,,,,Part E_1000.pdf
1052 (16),1052,16,,"Test Piles, Furnished and Driven",Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,a Concrete Piles cast in Drilled Holes dia. 0.80 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,b Concrete Piles cast in Drilled Holes dia. 0.90 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,c Concrete Piles cast in Drilled Holes dia. 1.00 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,d Concrete Piles cast in Drilled Holes dia. 1.10 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,e Concrete Piles cast in Drilled Holes dia. 1.20 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,f Concrete Piles cast in Drilled Holes dia. 1.30 m Page 25 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,g Concrete Piles cast in Drilled Holes dia. 1.40 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,h Concrete Piles cast in Drilled Holes dia. 1.50 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,i Concrete Piles cast in Drilled Holes dia. 1.60 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,j Concrete Piles cast in Drilled Holes dia. 1.70 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,k Concrete Piles cast in Drilled Holes dia. 1.80 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,l Concrete Piles cast in Drilled Holes dia. 1.90 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,m Concrete Piles cast in Drilled Holes dia. 2.00 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,n Concrete Piles cast in Drilled Holes dia. 2.10 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,o Concrete Piles cast in Drilled Holes dia. 2.20 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,p Concrete Piles cast in Drilled Holes dia. 2.30 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,q Concrete Piles cast in Drilled Holes dia. 2.40 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,r Concrete Piles cast in Drilled Holes dia. 2.50 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,s Concrete Piles cast in Drilled Holes dia. 2.60 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,t Concrete Piles cast in Drilled Holes dia. 2.70 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,u Concrete Piles cast in Drilled Holes dia. 2.80 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,v Concrete Piles cast in Drilled Holes dia. 2.90 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,w Concrete Piles cast in Drilled Holes dia. 3.00 m,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,x Concrete Piles cast in Drilled Holes dia. 3.50 m,Meter,,,,Part E_1000.pdf
1052 (17) y1,1052,17,y1,Concrete Piles cast in Drilled Holes 3.00 m x 6.50 m Oval,Meter,,,,Part E_1000.pdf
1052 (17) y2,1052,17,y2,Concrete Piles cast in Drilled Holes 3.00 m x 7.00 m Oval,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,z Concrete Piles cast in Drilled Holes Rectangular,Meter,,,,Part E_1000.pdf
1052 (17),1052,17,,aa Concrete Piles cast in Drilled Holes dia. 0.60 m,Meter,,,,Part E_1000.pdf
1052 (18),1052,18,,a Concrete Piles cast in Steel Shells dia. 400 mm,Meter,,,,Part E_1000.pdf
1052 (18),1052,18,,b Concrete Piles cast in Steel Shells dia. 500 mm,Meter,,,,Part E_1000.pdf
1052 (19),1052,19,,a Concrete Piles cast in Steel Pipes dia. 400 mm,Meter,,,,Part E_1000.pdf
1052 (19),1052,19,,b Concrete Piles cast in Steel Pipes dia. 500 mm,Meter,,,,Part E_1000.pdf
1052 (20),1052,20,,Pile Shoes,Each,,,,Part E_1000.pdf
1052 (21),1052,21,,Splices,Each,,,,Part E_1000.pdf
1052 (22),1052,22,,Load Tests Page 26 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Each,,,,Part E_1000.pdf
1052 (23) a1,1052,23,a1,Permanent Casing dia. 0.80 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) a2,1052,23,a2,Permanent Casing dia. 0.80 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) a3,1052,23,a3,Permanent Casing dia. 0.80 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) b1,1052,23,b1,Permanent Casing dia. 0.90 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) b2,1052,23,b2,Permanent Casing dia. 0.90 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) b3,1052,23,b3,Permanent Casing dia. 0.90 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) c1,1052,23,c1,Permanent Casing dia. 1.00 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) c2,1052,23,c2,Permanent Casing dia. 1.00 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) c3,1052,23,c3,Permanent Casing dia. 1.00 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) d1,1052,23,d1,Permanent Casing dia. 1.10 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) d2,1052,23,d2,Permanent Casing dia. 1.10 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) d3,1052,23,d3,Permanent Casing dia. 1.10 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) e1,1052,23,e1,Permanent Casing dia. 1.20 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) e2,1052,23,e2,Permanent Casing dia. 1.20 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) e3,1052,23,e3,Permanent Casing dia. 1.20 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) f1,1052,23,f1,Permanent Casing dia. 1.30 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) f2,1052,23,f2,Permanent Casing dia. 1.30 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) f3,1052,23,f3,Permanent Casing dia. 1.30 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) g1,1052,23,g1,Permanent Casing dia. 1.40 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) g2,1052,23,g2,Permanent Casing dia. 1.40 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) g3,1052,23,g3,Permanent Casing dia. 1.40 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) h1,1052,23,h1,Permanent Casing dia. 1.50 m 10 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) h2,1052,23,h2,Permanent Casing dia. 1.50 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) h3,1052,23,h3,Permanent Casing dia. 1.50 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) i1,1052,23,i1,Permanent Casing dia. 1.60 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) i2,1052,23,i2,Permanent Casing dia. 1.60 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) j1,1052,23,j1,Permanent Casing dia. 1.70 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) j2,1052,23,j2,Permanent Casing dia. 1.70 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) k1,1052,23,k1,Permanent Casing dia. 1.80 m 12 mm thick Page 27 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part E_1000.pdf
1052 (23) k2,1052,23,k2,Permanent Casing dia. 1.80 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) l1,1052,23,l1,Permanent Casing dia. 1.90 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) l2,1052,23,l2,Permanent Casing dia. 1.90 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) m1,1052,23,m1,Permanent Casing dia. 2.00 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) m2,1052,23,m2,Permanent Casing dia. 2.00 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) n1,1052,23,n1,Permanent Casing dia. 2.10 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) n2,1052,23,n2,Permanent Casing dia. 2.10 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) o1,1052,23,o1,Permanent Casing dia. 2.20 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) o2,1052,23,o2,Permanent Casing dia. 2.20 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) p1,1052,23,p1,Permanent Casing dia. 2.30 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) p2,1052,23,p2,Permanent Casing dia. 2.30 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) q1,1052,23,q1,Permanent Casing dia. 2.40 m 12 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) q2,1052,23,q2,Permanent Casing dia. 2.40 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) r1,1052,23,r1,Permanent Casing dia. 2.50 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) r2,1052,23,r2,Permanent Casing dia. 2.50 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) s1,1052,23,s1,Permanent Casing dia. 2.60 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) s2,1052,23,s2,Permanent Casing dia. 2.60 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) t1,1052,23,t1,Permanent Casing dia. 2.70 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) t2,1052,23,t2,Permanent Casing dia. 2.70 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) u1,1052,23,u1,Permanent Casing dia. 2.80 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) u2,1052,23,u2,Permanent Casing dia. 2.80 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) v1,1052,23,v1,Permanent Casing dia. 2.90 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) v2,1052,23,v2,Permanent Casing dia. 2.90 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) w1,1052,23,w1,Permanent Casing dia. 3.00 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) w2,1052,23,w2,Permanent Casing dia. 3.00 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) x1,1052,23,x1,Permanent Casing dia. 3.50 m 16 mm thick,Meter,,,,Part E_1000.pdf
1052 (23) x2,1052,23,x2,Permanent Casing dia. 3.50 m 20 mm thick,Meter,,,,Part E_1000.pdf
1052 (23),1052,23,,y Permanent Casing dia. 0.60 m 6 mm thick,Meter,,,,Part E_1000.pdf
1052 (24),1052,24,,Permanent Casing Page 28 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Kilogram,,,,Part E_1000.pdf
1052 (25),1052,25,,Splicing of R.C. Piles with Epoxy,Each,,,,Part E_1000.pdf
1052 (26),1052,26,,a Pile Integrity Testing Crosshole-Sonic,Each,,,,Part E_1000.pdf
1052 (26),1052,26,,b Pile Integrity Testing Low-Strain,Each,,,,Part E_1000.pdf
1052 (27),1052,27,,High Strain Dynamic Load Testing (PDA),Each,,,,Part E_1000.pdf
1052 (28),1052,28,,a Micro Piles 0.2,Meter,,,,Part E_1000.pdf
1052 (28),1052,28,,b Micro Piles 0.25,Meter,,,,Part E_1000.pdf
1052 (28),1052,28,,c Micro Piles 0.3,Meter,,,,Part E_1000.pdf
1052 (29),1052,29,,a Permanent Casing (Micro Piles) 0.2,Kilogram,,,,Part E_1000.pdf
1052 (29),1052,29,,b Permanent Casing (Micro Piles) 0.25,Kilogram,,,,Part E_1000.pdf
1052 (29),1052,29,,c Permanent Casing (Micro Piles) 0.3,Kilogram,,,,Part E_1000.pdf
1052 (30),1052,30,,a Temporary Steel Casing Furnish/Driven,Meter,,,,Part E_1000.pdf
1052 (30),1052,30,,b Temporary Steel Casing Extraction 318.5 mm dia. x 10.3 mm,Meter,,,,Part E_1000.pdf
1052 (31) a1,1052,31,a1,"Steel Pipe Piles, Furnished & Driven Press-in-Method Normal Headroom thk",Meter,,,,Part E_1000.pdf
1052 (31) a2,1052,31,a2,"Steel Pipe Piles, Furnished & Driven 800 mm dia. x 8 mm thk Press-in-Method Normal Headroom",Meter,,,,Part E_1000.pdf
1052 (31) a3,1052,31,a3,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 16 mm thk Press-in-Method Normal Headroom",Meter,,,,Part E_1000.pdf
1052 (31) a4,1052,31,a4,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 19 mm thk Press-in-Method Normal Headroom 318.5 mm dia. x 10.3 mm",Meter,,,,Part E_1000.pdf
1052 (32) b1,1052,32,b1,"Steel Pipe Piles, Furnished & Driven Press-in-Method Low Headroom thk",Meter,,,,Part E_1000.pdf
1052 (32) b2,1052,32,b2,"Steel Pipe Piles, Furnished & Driven 800 mm dia. x 8 mm thk Press-in-Method Low Headroom",Meter,,,,Part E_1000.pdf
1052 (32) b3,1052,32,b3,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 16 mm thk Press-in-Method Low Headroom",Meter,,,,Part E_1000.pdf
1052 (32) b4,1052,32,b4,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 19 mm thk Press-in-Method Low Headroom",Meter,,,,Part E_1000.pdf
1052 (33) a1,1052,33,a1,"Steel Pipe Sheet Piles, Furnished and Driven 800 mm dia. x 8 mm thk",Meter,,,,Part E_1000.pdf
