Pay Item,Pay Item (Normalized),Description,Unit,Trade,Category,Division,Part,Item,Sources
"1052 (8)","1052 (8)","Untreated Timber Piles, Driven","Meter","Foundation","Piling Works","DIVISION II - BUILDING","PART E","ITEM 1052 � PILING","BuildingEstimate, Cost-Estimate"
"1052 (9)","1052 (9)","Treated Timber Piles, Driven","Meter","Foundation","Piling Works","DIVISION II - BUILDING","PART E","ITEM 1052 � PILING","BuildingEstimate, Cost-Estimate"
"1053 (1)","1053 (1)","Carpet Floor Tiles","Square Meter","Finishes","Carpet Flooring","DIVISION II - BUILDING","PART E","ITEM 1053 � CARPET FLOOR TILES","BuildingEstimate, Cost-Estimate"
"1053 (2)","1053 (2)","Carpet Floor Tiles","Lump Sum","Finishes","Carpet Flooring","DIVISION II - BUILDING","PART E","ITEM 1053 � CARPET FLOOR TILES","BuildingEstimate, Cost-Estimate"
"1054 (1)","1054 (1)","Glass Fiber Reinforced Concrete (GFRC) Cladding Panels","Square Meter","Cladding","GFRC Cladding","DIVISION II - BUILDING","PART E","ITEM 1054 � GLASS FIBER REINFORCED CONCRETE CLADDING PANELS","BuildingEstimate, Cost-Estimate"
"1054 (2)","1054 (2)","Glass Fiber Reinforced Concrete (GFRC) Cladding Panels","Lump Sum","Cladding","GFRC Cladding","DIVISION II - BUILDING","PART E","ITEM 1054 � GLASS FIBER REINFORCED CONCRETE CLADDING PANELS","BuildingEstimate, Cost-Estimate"
"1055 (1)","1055 (1)","Sprayed Cementitious Fireproofing","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1055 � INTERIOR CEMENTITIOUS FIREPROOFING","BuildingEstimate, Cost-Estimate"
"1056 (1)","1056 (1)","Asphalt Roof Shingles","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1056 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (1)","1058 (1)","Flood Protection System for Buildings","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (2)","1058 (2)","Demountable Flood Barrier","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (3)","1058 (3)","Window Cover Flood Barrier Page 30 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (4)","1058 (4)","Swinging Flood Gate","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (5)","1058 (5)","Pivot-hinged Flood Gate","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (6)","1058 (6)","Drop-down Flood Barrier","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (7)","1058 (7)","Flip-up Flood Barrier","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (8)","1058 (8)","Sliding Flood Barrier","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1058 (9)","1058 (9)","Glass-Paneled Flood Barrier","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1058 � ASPHALT ROOF SINGLES","BuildingEstimate, Cost-Estimate"
"1059 (1)","1059 (1)","Viscous Dampers","Set","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1059 � VISCOUS DAMPERS","BuildingEstimate, Cost-Estimate"
"1060 (1)","1060 (1)","Seismic Base Isolator (Lead Rubber Bearing)","Set","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1060 (2)","1060 (2)","Seismic Base Isolator (Lead Rubber Bearing)","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1060 (3)","1060 (3)","Seismic Base Isolator (Rubber Bearing)","Set","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1060 (4)","1060 (4)","Seismic Base Isolator (Rubber Bearing)","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1060 (5)","1060 (5)","Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider)","Set","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1060 (6)","1060 (6)","Seismic Base Isolator (Sliding Isolator Bearing - Set Flat Slider)","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1060 � SEISMIC BASE ISOLATION FOR BUILDINGS","BuildingEstimate, Cost-Estimate"
"1061 (1) a1","1061 (1)A1","PVC Tensile Fabric with accessories Type 0","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (1) a2","1061 (1)A2","PVC Tensile Fabric with accessories Type 1 Page 31 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (1) a3","1061 (1)A3","PVC Tensile Fabric with accessories Type 2","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (1) a4","1061 (1)A4","PVC Tensile Fabric with accessories Type 3","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (2) a1","1061 (2)A1","PTFE Tensile Fabric with accessories Type 1","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (2) a2","1061 (2)A2","PTFE Tensile Fabric with accessories Type 2","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (2) a3","1061 (2)A3","PTFE Tensile Fabric with accessories Type 3","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1061 (2) a4","1061 (2)A4","PTFE Tensile Fabric with accessories Type 4 Page 32","Square Meter","Other","General Works","DIVISION II - BUILDING","PART E","ITEM 1061 � TENSILE FABRIC","BuildingEstimate, Cost-Estimate"
"1100 (1) a","1100 (1)A","Rigid Steel Conduit (RSC) 15 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) b","1100 (1)B","Rigid Steel Conduit (RSC) 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) c","1100 (1)C","Rigid Steel Conduit (RSC) 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) d","1100 (1)D","Rigid Steel Conduit (RSC) 32 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) e","1100 (1)E","Rigid Steel Conduit (RSC) 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) f","1100 (1)F","Rigid Steel Conduit (RSC) 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) g","1100 (1)G","Rigid Steel Conduit (RSC) 65 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) h","1100 (1)H","Rigid Steel Conduit (RSC) 80 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) i","1100 (1)I","Rigid Steel Conduit (RSC) 90 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) j","1100 (1)J","Rigid Steel Conduit (RSC) 100 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) k","1100 (1)K","Rigid Steel Conduit (RSC) 125 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (1) l","1100 (1)L","Rigid Steel Conduit (RSC) 150 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (10)","1100 (10)","Conduits, Boxes & Fittings (Conduit Works/Conduit Rough-in) 1.6 mm dia.","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) a","1100 (2)A","Intermediate Metal Conduit (IMC) 15 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) b","1100 (2)B","Intermediate Metal Conduit (IMC) 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) c","1100 (2)C","Intermediate Metal Conduit (IMC) 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) d","1100 (2)D","Intermediate Metal Conduit (IMC) 32 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) e","1100 (2)E","Intermediate Metal Conduit (IMC) 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) f","1100 (2)F","Intermediate Metal Conduit (IMC) 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) g","1100 (2)G","Intermediate Metal Conduit (IMC) 65 mm dia Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) h","1100 (2)H","Intermediate Metal Conduit (IMC) 80 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) i","1100 (2)I","Intermediate Metal Conduit (IMC) 90 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (2) j","1100 (2)J","Intermediate Metal Conduit (IMC) 100 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) a","1100 (3)A","Flexible Metal Conduit 15 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) b","1100 (3)B","Flexible Metal Conduit 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) c","1100 (3)C","Flexible Metal Conduit 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) d","1100 (3)D","Flexible Metal Conduit 32 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) e","1100 (3)E","Flexible Metal Conduit 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) f","1100 (3)F","Flexible Metal Conduit 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) g","1100 (3)G","Flexible Metal Conduit 65 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) h","1100 (3)H","Flexible Metal Conduit 80 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) i","1100 (3)I","Flexible Metal Conduit 90 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (3) j","1100 (3)J","Flexible Metal Conduit 100 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) a","1100 (4)A","Electrical Metallic Tubing (EMT) 15 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) b","1100 (4)B","Electrical Metallic Tubing (EMT) 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) c","1100 (4)C","Electrical Metallic Tubing (EMT) 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) d","1100 (4)D","Electrical Metallic Tubing (EMT) 32 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) e","1100 (4)E","Electrical Metallic Tubing (EMT) 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) f","1100 (4)F","Electrical Metallic Tubing (EMT) 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) g","1100 (4)G","Electrical Metallic Tubing (EMT) 65 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) h","1100 (4)H","Electrical Metallic Tubing (EMT) 80 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) i","1100 (4)I","Electrical Metallic Tubing (EMT) 90 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (4) j","1100 (4)J","Electrical Metallic Tubing (EMT) 100 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) a","1100 (5)A","Liquidtight Flexible Non-Metallic Conduit 10 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) b","1100 (5)B","Liquidtight Flexible Non-Metallic Conduit 15 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) c","1100 (5)C","Liquidtight Flexible Non-Metallic Conduit 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) d","1100 (5)D","Liquidtight Flexible Non-Metallic Conduit 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) e","1100 (5)E","Liquidtight Flexible Non-Metallic Conduit 32 mm dia Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) f","1100 (5)F","Liquidtight Flexible Non-Metallic Conduit 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (5) g","1100 (5)G","Liquidtight Flexible Non-Metallic Conduit 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) a","1100 (6)A","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 20 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) b","1100 (6)B","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 25 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) c","1100 (6)C","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 32 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) d","1100 (6)D","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 40 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) e","1100 (6)E","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 50 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) f","1100 (6)F","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 65mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) g","1100 (6)G","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 75 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) h","1100 (6)H","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 90 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) i","1100 (6)I","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 100 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) j","1100 (6)J","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 110 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (6) k","1100 (6)K","Rigid Polyvinyl Chloride Pipes (PVC/uPVC) 160 mm dia","Meter","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a1","1100 (7)A1","Weatherhead 15 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a10","1100 (7)A10","Weatherhead 100 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a11","1100 (7)A11","Weatherhead 125 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a12","1100 (7)A12","Weatherhead 150 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a2","1100 (7)A2","Weatherhead 20 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a3","1100 (7)A3","Weatherhead 25 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a4","1100 (7)A4","Weatherhead 32 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a5","1100 (7)A5","Weatherhead 40 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a6","1100 (7)A6","Weatherhead 50 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a7","1100 (7)A7","Weatherhead 65 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a8","1100 (7)A8","Weatherhead 80 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (7) a9","1100 (7)A9","Weatherhead 90 mm dia","Each","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (8)","1100 (8)","Boxes/Wire Gutter Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1100 (9)","1100 (9)","Fittings and Accessories","Lump Sum","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1100 - CONDUITS, BOXES AND FITTINGS","BuildingEstimate, Cost-Estimate"
"1101 (1) a1","1101 (1)A1","Electric Wire Solid TW/THHN/THWN2 2.0 mm dia.","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) a2","1101 (1)A2","Electric Wire Solid TW/THHN/THWN2 2.6 mm dia.","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) a3","1101 (1)A3","Electric Wire Solid TW/THHN/THWN2 3.2 mm dia.","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) a4","1101 (1)A4","Electric Wire Solid TW/THHN/THWN2 2.0 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b1","1101 (1)B1","Electric Wire Stranded TW/THHN/THWN2 3.5 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b10","1101 (1)B10","Electric Wire Stranded TW/THHN/THWN2 80 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b11","1101 (1)B11","Electric Wire Stranded TW/THHN/THWN2 100 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b12","1101 (1)B12","Electric Wire Stranded TW/THHN/THWN2 125 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b13","1101 (1)B13","Electric Wire Stranded TW/THHN/THWN2 150 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b14","1101 (1)B14","Electric Wire Stranded TW/THHN/THWN2 200 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
"1101 (1) b15","1101 (1)B15","Electric Wire Stranded TW/THHN/THWN2 250 mm2","Roll","Other","General Works","DIVISION II - BUILDING","PART F","ITEM 1101 � WIRES, CABLES AND WIRING DEVICES","BuildingEstimate, Cost-Estimate"
